Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Outstanding_Balance,DPD,Risk_Segment,State,Sanction_Date
LN00090,CUST00090,Education Loan,2530135,786896,49,Medium,Delhi,2023-09-23
LN00091,CUST00091,Education Loan,1509847,1441812,145,High,Tamil Nadu,2022-04-11
LN00092,CUST00092,Business Loan,53405,25254,73,High,Maharashtra,2022-05-30
LN00093,CUST00093,Business Loan,2753222,2225623,113,High,Delhi,2023-10-15
LN00094,CUST00094,Personal Loan,4338038,2418489,43,Medium,Karnataka,2021-08-04
LN00095,CUST00095,Business Loan,2861762,677870,60,Medium,Tamil Nadu,2021-04-05
LN00096,CUST00096,Personal Loan,1286094,179832,11,Medium,Maharashtra,2022-08-31
LN00097,CUST00097,Business Loan,660927,543630,106,High,Telangana,2021-02-02
LN00098,CUST00098,Education Loan,4197136,2095978,62,High,Maharashtra,2023-09-05
LN00099,CUST00099,Home Loan,944119,910643,108,High,Maharashtra,2020-12-26
LN00100,CUST00100,Business Loan,3946926,605323,142,High,Maharashtra,2025-02-21
LN00101,CUST00101,Home Loan,3879079,947171,118,High,Telangana,2023-02-18
LN00102,CUST00102,Business Loan,2711688,2127455,156,High,Telangana,2022-05-23
LN00103,CUST00103,Business Loan,3790594,1046615,121,High,Delhi,2021-06-14
LN00104,CUST00104,Personal Loan,2376256,2270172,160,High,Maharashtra,2021-07-16
LN00105,CUST00105,Education Loan,699977,369604,60,Medium,Tamil Nadu,2021-11-18
LN00106,CUST00106,Auto Loan,4581125,796079,35,Medium,Maharashtra,2021-04-18
LN00107,CUST00107,Education Loan,1331823,581873,16,Medium,Delhi,2022-04-14
LN00108,CUST00108,Auto Loan,4601752,2414403,106,High,Karnataka,2021-02-27
LN00109,CUST00109,Education Loan,3317168,2781522,178,High,Karnataka,2024-10-20
LN00110,CUST00110,Business Loan,3240867,2324684,1,Medium,Tamil Nadu,2021-09-03
LN00111,CUST00111,Education Loan,3565005,2613960,139,High,Telangana,2025-01-12
LN00112,CUST00112,Personal Loan,4145565,1334877,69,High,Delhi,2022-09-21
LN00113,CUST00113,Home Loan,3311970,1741026,171,High,Delhi,2024-01-23
LN00114,CUST00114,Personal Loan,3970752,932384,159,High,Telangana,2020-02-25
LN00115,CUST00115,Education Loan,4784463,705794,21,Medium,Delhi,2020-10-04
LN00116,CUST00116,Education Loan,1574453,262899,66,High,Delhi,2021-11-01
LN00117,CUST00117,Personal Loan,3864294,1757319,86,High,Delhi,2021-07-23
LN00118,CUST00118,Education Loan,2166206,1967555,20,Medium,Delhi,2020-02-09
LN00119,CUST00119,Business Loan,486925,232172,57,Medium,Karnataka,2024-05-18
LN00120,CUST00120,Home Loan,310298,160676,51,Medium,Karnataka,2023-06-26
LN00121,CUST00121,Personal Loan,2051060,469810,121,High,Karnataka,2023-03-01
LN00122,CUST00122,Personal Loan,3950987,3328866,65,High,Tamil Nadu,2020-12-09
LN00123,CUST00123,Business Loan,1010771,916650,41,Medium,Tamil Nadu,2020-08-09
LN00124,CUST00124,Business Loan,265406,108317,147,High,Delhi,2022-03-23
LN00125,CUST00125,Personal Loan,687504,323396,26,Medium,Tamil Nadu,2024-10-07
LN00126,CUST00126,Business Loan,1065483,941452,144,High,Karnataka,2021-12-12
LN00127,CUST00127,Business Loan,3643495,3138970,94,High,Karnataka,2022-11-02
LN00128,CUST00128,Auto Loan,156133,125728,125,High,Karnataka,2022-06-06
LN00129,CUST00129,Auto Loan,3906573,3357324,39,Medium,Delhi,2020-12-26
LN00130,CUST00130,Business Loan,2315615,1523222,137,High,Delhi,2022-08-10
LN00131,CUST00131,Education Loan,2301464,906067,62,High,Karnataka,2021-07-25
LN00132,CUST00132,Education Loan,2095674,1783429,118,High,Telangana,2023-06-03
LN00133,CUST00133,Education Loan,2871899,407565,126,High,Tamil Nadu,2021-01-07
LN00134,CUST00134,Education Loan,1829390,927060,66,High,Tamil Nadu,2021-07-26
LN00135,CUST00135,Business Loan,2367508,279326,132,High,Maharashtra,2020-06-24
LN00136,CUST00136,Personal Loan,3459366,2395180,142,High,Maharashtra,2023-11-15
LN00137,CUST00137,Education Loan,4167307,2296510,4,Medium,Karnataka,2021-08-25
LN00138,CUST00138,Personal Loan,3442362,3245801,62,High,Tamil Nadu,2023-09-21
LN00139,CUST00139,Business Loan,3145567,2299554,141,High,Telangana,2021-12-05
LN00140,CUST00140,Education Loan,4666993,3241577,90,High,Delhi,2021-07-08
LN00141,CUST00141,Auto Loan,2158926,699365,30,Medium,Maharashtra,2021-10-08
LN00142,CUST00142,Home Loan,4545152,4442784,176,High,Maharashtra,2021-01-27
LN00143,CUST00143,Personal Loan,4111752,1570898,150,High,Telangana,2023-05-07
LN00144,CUST00144,Auto Loan,893274,292874,75,High,Maharashtra,2022-01-09
LN00145,CUST00145,Personal Loan,2585604,317902,136,High,Maharashtra,2021-07-15
LN00146,CUST00146,Home Loan,507397,340858,74,High,Maharashtra,2023-07-30
LN00147,CUST00147,Education Loan,910567,103917,146,High,Tamil Nadu,2022-08-19
LN00148,CUST00148,Education Loan,3744920,1803516,47,Medium,Karnataka,2021-06-01
LN00149,CUST00149,Education Loan,1007032,962753,16,Medium,Delhi,2022-10-04
LN00150,CUST00150,Home Loan,4890404,938745,38,Medium,Maharashtra,2024-07-19
LN00151,CUST00151,Business Loan,2598757,617149,63,High,Karnataka,2023-02-16
LN00152,CUST00152,Education Loan,1943200,1821067,133,High,Delhi,2022-07-11
LN00153,CUST00153,Education Loan,2544378,2053079,78,High,Telangana,2023-06-25
LN00154,CUST00154,Home Loan,882431,306124,160,High,Maharashtra,2021-06-25
LN00155,CUST00155,Home Loan,1367490,639782,44,Medium,Telangana,2020-06-02
LN00156,CUST00156,Personal Loan,72445,34016,115,High,Telangana,2022-08-20
LN00157,CUST00157,Auto Loan,323802,153740,73,High,Tamil Nadu,2023-12-10
LN00158,CUST00158,Education Loan,647099,309471,67,High,Telangana,2023-09-16
LN00159,CUST00159,Personal Loan,3616324,843038,139,High,Maharashtra,2023-08-19
LN00160,CUST00160,Personal Loan,2278286,1961399,36,Medium,Karnataka,2020-05-02
LN00161,CUST00161,Personal Loan,2630434,1473563,112,High,Karnataka,2022-08-17
LN00162,CUST00162,Auto Loan,3426486,1484531,128,High,Telangana,2022-10-08
LN00163,CUST00163,Education Loan,724795,699565,10,Medium,Delhi,2024-02-13
LN00164,CUST00164,Auto Loan,2150238,269265,23,Medium,Maharashtra,2025-05-23
LN00165,CUST00165,Business Loan,4975144,671539,172,High,Tamil Nadu,2023-03-26
LN00166,CUST00166,Home Loan,1519606,1138671,132,High,Delhi,2025-02-19
LN00167,CUST00167,Auto Loan,1572441,1384769,111,High,Delhi,2025-06-07
LN00168,CUST00168,Home Loan,3992732,1858727,104,High,Tamil Nadu,2021-10-19
LN00169,CUST00169,Home Loan,1399096,831557,105,High,Delhi,2021-08-13
LN00170,CUST00170,Education Loan,4664544,774291,116,High,Karnataka,2021-10-06
LN00171,CUST00171,Auto Loan,2761817,762391,103,High,Telangana,2024-08-16
LN00172,CUST00172,Home Loan,4601604,2397829,105,High,Karnataka,2021-01-19
LN00173,CUST00173,Business Loan,3084825,2919997,127,High,Delhi,2024-04-05
LN00174,CUST00174,Home Loan,1757570,735814,140,High,Maharashtra,2025-03-14
LN00175,CUST00175,Auto Loan,3725184,3301190,124,High,Karnataka,2020-02-29
LN00176,CUST00176,Business Loan,2057372,1694259,40,Medium,Tamil Nadu,2023-02-02
LN00177,CUST00177,Home Loan,4682620,3890735,23,Medium,Maharashtra,2024-09-19
LN00178,CUST00178,Home Loan,3920905,884778,165,High,Maharashtra,2022-10-17
LN00179,CUST00179,Auto Loan,4318727,3390582,69,High,Delhi,2024-09-05
LN00180,CUST00180,Education Loan,4011266,1423407,116,High,Telangana,2020-10-23
LN00181,CUST00181,Education Loan,1648955,1421880,130,High,Maharashtra,2024-11-04
LN00182,CUST00182,Home Loan,2367331,1977127,87,High,Telangana,2021-07-01
LN00183,CUST00183,Home Loan,2422625,1494495,150,High,Telangana,2023-09-13
LN00184,CUST00184,Education Loan,1296508,1066127,137,High,Delhi,2021-12-07
LN00185,CUST00185,Auto Loan,4679818,3632248,116,High,Tamil Nadu,2024-11-15
LN00186,CUST00186,Personal Loan,2053246,1404470,98,High,Maharashtra,2024-10-19
LN00187,CUST00187,Education Loan,416140,208430,121,High,Delhi,2022-03-01
LN00188,CUST00188,Personal Loan,4205117,575782,32,Medium,Telangana,2025-05-31
LN00189,CUST00189,Business Loan,2834973,704456,112,High,Karnataka,2022-12-13
LN00190,CUST00190,Education Loan,178744,55663,104,High,Maharashtra,2020-06-02
LN00191,CUST00191,Education Loan,2273172,937331,159,High,Delhi,2023-08-23
LN00192,CUST00192,Home Loan,2806207,2518794,97,High,Tamil Nadu,2023-07-07
LN00193,CUST00193,Education Loan,4588371,609408,158,High,Karnataka,2021-04-25
LN00194,CUST00194,Auto Loan,1958293,1761911,23,Medium,Delhi,2020-07-20
LN00195,CUST00195,Home Loan,3771845,1074968,177,High,Tamil Nadu,2025-01-24
LN00196,CUST00196,Home Loan,435800,213645,14,Medium,Tamil Nadu,2022-01-04
LN00197,CUST00197,Auto Loan,3662862,976849,62,High,Telangana,2022-04-23
LN00198,CUST00198,Business Loan,1560426,512523,44,Medium,Karnataka,2023-06-02
LN00199,CUST00199,Education Loan,2070226,1250705,149,High,Maharashtra,2021-04-20
LN00200,CUST00200,Education Loan,2180516,1181840,65,High,Karnataka,2025-01-14
LN00201,CUST00201,Education Loan,2462829,908879,18,Medium,Delhi,2025-04-19
LN00202,CUST00202,Auto Loan,4978908,3007377,163,High,Delhi,2023-11-14
LN00203,CUST00203,Auto Loan,3882216,1655411,50,Medium,Delhi,2024-10-13
LN00204,CUST00204,Education Loan,944672,343195,97,High,Telangana,2022-01-05
LN00205,CUST00205,Business Loan,2531957,1491482,5,Medium,Delhi,2021-07-16
LN00206,CUST00206,Home Loan,4797356,891147,155,High,Delhi,2024-09-01
LN00207,CUST00207,Auto Loan,1980372,1471144,90,High,Maharashtra,2023-07-27
LN00208,CUST00208,Personal Loan,2152409,1636615,168,High,Maharashtra,2023-07-10
LN00209,CUST00209,Home Loan,380700,200039,112,High,Karnataka,2023-04-01
LN00210,CUST00210,Auto Loan,1152362,209747,75,High,Tamil Nadu,2024-03-10
LN00211,CUST00211,Education Loan,1523375,573434,33,Medium,Telangana,2024-11-29
LN00212,CUST00212,Auto Loan,4503112,2554990,69,High,Maharashtra,2021-06-10
LN00213,CUST00213,Education Loan,2525825,1673256,29,Medium,Delhi,2025-05-26
LN00214,CUST00214,Home Loan,1230755,596223,173,High,Delhi,2025-06-03
LN00215,CUST00215,Business Loan,3118343,690591,101,High,Karnataka,2021-06-25
LN00216,CUST00216,Business Loan,1086737,585550,94,High,Tamil Nadu,2023-04-12
LN00217,CUST00217,Education Loan,3166146,771050,172,High,Maharashtra,2022-08-23
LN00218,CUST00218,Home Loan,4759426,3227458,156,High,Maharashtra,2023-08-19
LN00219,CUST00219,Home Loan,3944558,3334985,77,High,Delhi,2020-08-26
LN00220,CUST00220,Personal Loan,430396,62548,77,High,Delhi,2020-08-25
LN00221,CUST00221,Home Loan,2019645,1329280,34,Medium,Delhi,2022-07-18
LN00222,CUST00222,Auto Loan,4581463,2216091,150,High,Maharashtra,2024-12-18
LN00223,CUST00223,Education Loan,880653,601182,157,High,Delhi,2025-04-07
LN00224,CUST00224,Auto Loan,324444,226708,55,Medium,Delhi,2022-06-29
LN00225,CUST00225,Personal Loan,3092431,725966,175,High,Tamil Nadu,2023-01-20
LN00226,CUST00226,Auto Loan,557930,264532,70,High,Maharashtra,2025-06-05
LN00227,CUST00227,Home Loan,3864445,770950,169,High,Maharashtra,2023-08-07
LN00228,CUST00228,Business Loan,229159,36173,85,High,Maharashtra,2020-09-14
LN00229,CUST00229,Business Loan,1771389,321023,141,High,Maharashtra,2023-04-15
LN00230,CUST00230,Personal Loan,2004534,889492,37,Medium,Telangana,2020-01-06
LN00231,CUST00231,Auto Loan,1263730,398986,138,High,Tamil Nadu,2024-06-23
LN00232,CUST00232,Personal Loan,972129,790381,6,Medium,Maharashtra,2020-01-31
LN00233,CUST00233,Auto Loan,2045914,1439505,82,High,Karnataka,2020-12-22
LN00234,CUST00234,Auto Loan,489554,115412,107,High,Telangana,2020-08-20
LN00235,CUST00235,Home Loan,4045040,2284706,92,High,Telangana,2023-04-30
LN00236,CUST00236,Home Loan,3841696,2497421,56,Medium,Telangana,2020-03-29
LN00237,CUST00237,Business Loan,2580258,2179194,164,High,Karnataka,2020-05-04
LN00238,CUST00238,Education Loan,3419009,2129821,175,High,Karnataka,2022-10-01
LN00239,CUST00239,Education Loan,666484,151362,82,High,Telangana,2020-10-30
LN00240,CUST00240,Home Loan,1108571,399232,159,High,Telangana,2023-01-28
LN00241,CUST00241,Auto Loan,3245257,2830168,135,High,Tamil Nadu,2022-07-18
LN00242,CUST00242,Business Loan,3658773,781861,179,High,Karnataka,2024-10-12
LN00243,CUST00243,Business Loan,1853744,1087296,115,High,Maharashtra,2022-04-27
LN00244,CUST00244,Auto Loan,3854224,2057817,106,High,Karnataka,2021-10-02
LN00245,CUST00245,Education Loan,2671637,1336248,95,High,Maharashtra,2023-11-07
LN00246,CUST00246,Education Loan,613155,156971,21,Medium,Karnataka,2022-06-03
LN00247,CUST00247,Home Loan,3175988,863341,142,High,Karnataka,2023-04-16
LN00248,CUST00248,Business Loan,4761741,3241444,171,High,Karnataka,2022-04-21
LN00249,CUST00249,Auto Loan,3597851,3384132,13,Medium,Tamil Nadu,2023-05-14
LN00250,CUST00250,Auto Loan,2999822,734514,147,High,Telangana,2021-03-11
LN00251,CUST00251,Personal Loan,4094897,1350040,27,Medium,Tamil Nadu,2024-09-27
LN00252,CUST00252,Business Loan,3133325,795195,71,High,Telangana,2021-04-08
LN00253,CUST00253,Education Loan,4755721,695805,155,High,Tamil Nadu,2020-02-29
LN00254,CUST00254,Personal Loan,2342358,1530210,86,High,Tamil Nadu,2020-01-13
LN00255,CUST00255,Personal Loan,1251680,965673,17,Medium,Maharashtra,2024-02-26
LN00256,CUST00256,Home Loan,819719,638222,55,Medium,Delhi,2022-05-09
LN00257,CUST00257,Education Loan,2909642,951186,94,High,Tamil Nadu,2024-01-17
LN00258,CUST00258,Auto Loan,4811319,1193802,13,Medium,Maharashtra,2020-11-18
LN00259,CUST00259,Business Loan,467438,400096,20,Medium,Tamil Nadu,2022-06-26
LN00260,CUST00260,Education Loan,4124025,2958663,113,High,Delhi,2021-07-13
LN00261,CUST00261,Personal Loan,4347872,912172,88,High,Delhi,2020-08-15
LN00262,CUST00262,Auto Loan,4132171,2623338,170,High,Tamil Nadu,2020-04-03
LN00263,CUST00263,Personal Loan,3365709,2850321,14,Medium,Karnataka,2021-02-22
LN00264,CUST00264,Auto Loan,1821959,1791443,35,Medium,Tamil Nadu,2021-08-15
LN00265,CUST00265,Auto Loan,1056501,113755,127,High,Delhi,2020-12-25
LN00266,CUST00266,Personal Loan,3239411,2557753,180,High,Maharashtra,2022-10-21
LN00267,CUST00267,Business Loan,3020969,604402,101,High,Karnataka,2022-06-12
LN00268,CUST00268,Home Loan,3906698,717248,80,High,Telangana,2022-05-29
LN00269,CUST00269,Business Loan,3442545,3320108,163,High,Delhi,2021-08-15
LN00270,CUST00270,Home Loan,3447657,432243,83,High,Maharashtra,2024-06-29
LN00271,CUST00271,Business Loan,3909572,3880726,176,High,Tamil Nadu,2020-06-29
LN00272,CUST00272,Education Loan,938044,348939,111,High,Telangana,2022-03-31
LN00273,CUST00273,Business Loan,709739,485964,79,High,Tamil Nadu,2021-03-29
LN00274,CUST00274,Auto Loan,1460399,306218,130,High,Karnataka,2022-12-22
LN00275,CUST00275,Business Loan,1676582,900351,89,High,Maharashtra,2021-04-28
LN00276,CUST00276,Home Loan,1278463,664650,50,Medium,Maharashtra,2023-05-18
LN00277,CUST00277,Personal Loan,682109,253961,160,High,Delhi,2022-08-08
LN00278,CUST00278,Business Loan,4910930,4256783,174,High,Telangana,2023-08-09
LN00279,CUST00279,Business Loan,2761267,1602108,38,Medium,Delhi,2020-05-19
LN00280,CUST00280,Education Loan,3759510,3024172,77,High,Tamil Nadu,2023-04-26
LN00281,CUST00281,Home Loan,3002305,2428155,18,Medium,Tamil Nadu,2022-08-03
LN00282,CUST00282,Education Loan,365472,66373,94,High,Tamil Nadu,2020-06-06
LN00283,CUST00283,Home Loan,4303593,2042995,118,High,Telangana,2023-02-09
LN00284,CUST00284,Home Loan,3822639,3778877,146,High,Maharashtra,2021-10-20
LN00285,CUST00285,Business Loan,4039865,2506872,38,Medium,Karnataka,2022-07-11
LN00286,CUST00286,Home Loan,2930964,646798,129,High,Maharashtra,2020-03-21
LN00287,CUST00287,Personal Loan,3722182,2215286,134,High,Telangana,2023-06-02
LN00288,CUST00288,Personal Loan,3102597,1874113,72,High,Delhi,2022-04-17
LN00289,CUST00289,Auto Loan,489273,462709,161,High,Tamil Nadu,2020-05-14
LN00290,CUST00290,Auto Loan,842773,669343,173,High,Delhi,2021-08-04
LN00291,CUST00291,Auto Loan,1311422,830252,20,Medium,Telangana,2023-09-21
LN00292,CUST00292,Personal Loan,2984509,1599656,167,High,Delhi,2020-09-21
LN00293,CUST00293,Business Loan,760674,400687,143,High,Delhi,2023-08-10
LN00294,CUST00294,Auto Loan,1122011,814868,179,High,Telangana,2020-07-10
LN00295,CUST00295,Education Loan,4315510,1949168,4,Medium,Tamil Nadu,2021-09-24
LN00296,CUST00296,Personal Loan,1846778,901341,124,High,Maharashtra,2021-04-08
LN00297,CUST00297,Personal Loan,1349774,296803,75,High,Karnataka,2022-11-05
LN00298,CUST00298,Business Loan,4466867,605010,169,High,Tamil Nadu,2024-11-29
LN00299,CUST00299,Business Loan,1149319,741189,96,High,Maharashtra,2020-11-28
LN00300,CUST00300,Personal Loan,1438643,1061731,11,Medium,Delhi,2022-01-16
LN00301,CUST00301,Personal Loan,3776208,2938642,72,High,Delhi,2021-04-24
LN00302,CUST00302,Business Loan,2056290,854630,120,High,Maharashtra,2022-01-23
LN00303,CUST00303,Business Loan,3745998,2311025,72,High,Delhi,2022-10-26
LN00304,CUST00304,Business Loan,3561981,1035919,51,Medium,Telangana,2020-10-10
LN00305,CUST00305,Auto Loan,487715,384933,123,High,Tamil Nadu,2023-02-09
LN00306,CUST00306,Home Loan,4377761,4007825,31,Medium,Tamil Nadu,2020-06-20
LN00307,CUST00307,Personal Loan,2338339,2118414,131,High,Maharashtra,2024-08-28
LN00308,CUST00308,Education Loan,819349,314757,115,High,Tamil Nadu,2025-03-20
LN00309,CUST00309,Home Loan,3530407,576415,101,High,Telangana,2022-02-04
LN00310,CUST00310,Personal Loan,3289396,671217,95,High,Maharashtra,2020-02-27
LN00311,CUST00311,Auto Loan,881169,837537,166,High,Tamil Nadu,2024-06-08
LN00312,CUST00312,Personal Loan,1204269,200753,73,High,Delhi,2023-11-26
LN00313,CUST00313,Personal Loan,3985180,2280088,157,High,Karnataka,2025-01-29
LN00314,CUST00314,Home Loan,209416,88029,55,Medium,Maharashtra,2023-01-28
LN00315,CUST00315,Business Loan,4477268,2222985,28,Medium,Tamil Nadu,2021-05-01
LN00316,CUST00316,Auto Loan,1072138,157281,61,High,Delhi,2023-08-01
LN00317,CUST00317,Business Loan,3884546,651886,28,Medium,Delhi,2023-05-07
LN00318,CUST00318,Business Loan,187869,184449,131,High,Telangana,2021-05-10
LN00319,CUST00319,Personal Loan,2493366,2049694,0,Low,Telangana,2021-12-23
LN00320,CUST00320,Personal Loan,4837074,3978129,47,Medium,Karnataka,2022-12-08
LN00321,CUST00321,Auto Loan,617735,613386,139,High,Telangana,2024-05-29
LN00322,CUST00322,Business Loan,4698563,640432,99,High,Delhi,2020-03-30
LN00323,CUST00323,Education Loan,3181487,1382034,4,Medium,Tamil Nadu,2024-06-02
LN00324,CUST00324,Home Loan,2942412,1305596,168,High,Karnataka,2024-04-29
LN00325,CUST00325,Business Loan,2839368,843496,11,Medium,Tamil Nadu,2023-01-23
